"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","COG.FA66.NUM.A","OBS_VALUE","Congo, Republic of","Mobile money transactions (during the reference year)","Number","Annual","Units","","27521","136185","110005","124682770","484875","377864","1246476","50845045","58171748","527561","291123","",""
"IMF.STA:FAS(4.0.0)","COG.FA57.NUM.A","OBS_VALUE","Congo, Republic of","Registered mobile money agent outlets","Number","Annual","Units","","3658","517","6176","6084","6298","1386","6265","45817","108792.5","82681","5339","",""
"IMF.STA:FAS(4.0.0)","LBR.FA26N.PTKM2_NUM.A","OBS_VALUE","Liberia","Number of commercial bank branches","Per 1,000 square km","Annual","Units","0.8928571428571429","0.9032392026578073","0.965531561461794","0.9759136212624585","0.8201827242524917","0.8201827242524917","0.851328903654485","0.9343853820598007","0.9343853820598007","0.9032392026578073","0.9966777408637874","0.9966777408637874","1.027823920265781",""
"IMF.STA:FAS(4.0.0)","LBR.FA66.NUM.A","OBS_VALUE","Liberia","Mobile money transactions (during the reference year)","Number","Annual","Units","","1111765","1938428","1708862","1741081.1","","4311827","10355459","41700815","120417261","271580838","374446327.66","474456327.67",""
"IMF.STA:FAS(4.0.0)","LBR.FA63.NUM.A","OBS_VALUE","Liberia","Active mobile money accounts","Number","Annual","Units","","22521","51571","99464","98412","","249127","338844","751175","1230839","1543071","2672780.8275","2372740.9275",""
"IMF.STA:FAS(4.0.0)","COD.FA66.NUM.A","OBS_VALUE","Congo, Democratic Republic of the","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","","","462335582","551890102","776979910","","","",""
"IMF.STA:FAS(4.0.0)","CMR.FA66.NUM.A","OBS_VALUE","Cameroon","Mobile money transactions (during the reference year)","Number","Annual","Units","127594","1347859","1007631","8955038","19026923","84030605","308111568","574795599","840901461","1070273783","","","",""
"IMF.STA:FAS(4.0.0)","LBR.FA57.NUM.A","OBS_VALUE","Liberia","Registered mobile money agent outlets","Number","Annual","Units","","117","274","484","489","","3525","6995","13158","30506","45887","55982.14","66182.24",""
"IMF.STA:FAS(4.0.0)","COG.FA26N.PTKM2_NUM.A","OBS_VALUE","Congo, Republic of","Number of commercial bank branches","Per 1,000 square km","Annual","Units","0.04099560761346999","0.05856515373352855","0.1991215226939971","0.2693997071742313","0.2869692532942899","0.322108345534407","0.3484626647144949","0.3806734992679356","0.404099560761347","0.3982430453879941","0.3982430453879941","0.4070278184480234","",""
"IMF.STA:FAS(4.0.0)","ZWE.FA57.NUM.A","OBS_VALUE","Zimbabwe","Registered mobile money agent outlets","Number","Annual","Units","","3223","6900","25618","38745","40590","47838","50740","59219","","","","",""
"IMF.STA:FAS(4.0.0)","GNQ.FA26N.PTKM2_NUM.A","OBS_VALUE","Equatorial Guinea, Republic of","Number of commercial bank branches","Per 1,000 square km","Annual","Units","0.7130124777183601","0.8912655971479501","0.9269162210338681","1.105169340463458","1.283422459893048","","1.568627450980392","1.925133689839572","1.96078431372549","2.067736185383244","2.103386809269162","2.103386809269162","",""
"IMF.STA:FAS(4.0.0)","COD.FA63.NUM.A","OBS_VALUE","Congo, Democratic Republic of the","Active mobile money accounts","Number","Annual","Units","","","322518","1930580","1770884","1947550","3251461","5866141","6459561","8879137.87909973","","","",""
"IMF.STA:FAS(4.0.0)","BDI.FA26N.PTKM2_NUM.A","OBS_VALUE","Burundi","Number of commercial bank branches","Per 1,000 square km","Annual","Units","4.867601246105919","5.451713395638629","6.658878504672897","6.697819314641745","6.970404984423676","7.165109034267913","7.165109034267913","7.165109034267913","7.320872274143302","7.827102803738318","8.333333333333333","9.073208722741433","",""
"IMF.STA:FAS(4.0.0)","CMR.FA57.NUM.A","OBS_VALUE","Cameroon","Registered mobile money agent outlets","Number","Annual","Units","154","489","6843","6082","25443","36044","82566","117513","172459","203144","","","",""
"IMF.STA:FAS(4.0.0)","COG.FA63.NUM.A","OBS_VALUE","Congo, Republic of","Active mobile money accounts","Number","Annual","Units","","7098","15585","66015","137583","96411","296645","922822","1966893","4287020","826778","15471","",""
"IMF.STA:FAS(4.0.0)","CMR.FA63.NUM.A","OBS_VALUE","Cameroon","Active mobile money accounts","Number","Annual","Units","96490","475016","1443466","1740827","2187470","1451326","3479935","5008112","6747125","8468978","","","",""
"IMF.STA:FAS(4.0.0)","GNQ.FA57.NUM.A","OBS_VALUE","Equatorial Guinea, Republic of","Registered mobile money agent outlets","Number","Annual","Units","","","","","","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GNQ.FA63.NUM.A","OBS_VALUE","Equatorial Guinea, Republic of","Active mobile money accounts","Number","Annual","Units","","","","","","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GNQ.FA66.NUM.A","OBS_VALUE","Equatorial Guinea, Republic of","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","","","","","","","","",""
